kogudus,auskoht,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,praostkond,tulud_kokku,liikmeannetused_eur,korjandused_eur,ametitalitused_eur,avaliku_sektori_toetused_kokku_eur,tulu_kinnisvarast_eur,valisannetused_ja_toetused_kokku_eur,kulud_kokku_eur
Järvakandi Pauluse Kogudus,vald104,2018,80,22,0,3,0,0,0,0,28,Lääne-Harju,5 826 €,1 330 €, 851 €, 100 €, 150 €, 0 €,3 040 €,5 276 €
Järvakandi Pauluse Kogudus,vald105,2019,78,24,0,2,0,0,0,0,28,Lääne-Harju,10 917 €,1 235 €,1 026 €, 500 €, 150 €, 0 €,3 396 €,9 341 €
Järvakandi Pauluse Kogudus,vald106,2020,78,16,0,3,0,0,0,0,29,Lääne-Harju,7 999 €, 908 €,1 181 €, 190 €, 820 €, 0 €,4 000 €,7 927 €
Järva-Madise Püha Matteuse Kogudus,vald107,2017,170,26,4,14,0,0,0,0,106,Järva,29 179 €,3 522 €,1 670 €,1 570 €,8 827 €,5 644 €, 88 €,27 514 €
Järva-Madise Püha Matteuse Kogudus,vald108,2018,170,26,4,19,0,0,0,0,107,Järva,31 420 €,2 982 €, 825 €,3 585 €,12 200 €, 0 €, 400 €,30 850 €
Järva-Madise Püha Matteuse Kogudus,vald109,2019,105,13,0,19,0,0,0,0,47,Järva,25 981 €,2 284 €, 951 €,2 620 €,11 000 €,7 544 €, 145 €,27 484 €
Järva-Madise Püha Matteuse Kogudus,vald110,2020,200,12,2,9,1,0,0,0,56,Järva,22 717 €,2 714 €,1 240 €, 510 €,11 000 €,6 062 €, 0 €,18 660 €
Järva-Peetri Püha Peetruse Kogudus,vald111,2017,170,16,0,9,0,0,0,2,43,Järva,16 110 €,3 066 €, 735 €, 280 €,1 300 €, 50 €, 0 €,21 238 €
Järva-Peetri Püha Peetruse Kogudus,vald112,2018,170,16,0,9,0,0,0,3,47,Järva,39 722 €,3 629 €,1 113 €, 320 €,17 800 €, 40 €, 0 €,37 829 €
Järva-Peetri Püha Peetruse Kogudus,vald113,2019,170,16,2,5,0,0,0,0,41,Järva,23 967 €,3 045 €, 674 €, 390 €,6 700 €, 0 €, 0 €,24 651 €
Järva-Peetri Püha Peetruse Kogudus,vald114,2020,170,7,0,4,0,0,0,0,45,Järva,71 050 €,3 366 €, 490 €, 280 €,49 958 €, 0 €, 0 €,57 895 €
